input file used in this experiment: godfather/gdad.txt
MAX characters between words allowed: 200

,,Distance Between words,Actual Text 
908109,908006,96,michael book viii 425 wants you for   she asked  her worried frown made her look old and unattractive  '

Location of ',Location of mike,,
87871,87889,17,'old man  thought mike
293023,293034,10,'remember  mike
496363,496383,19,'  you forget about mike
876009,875977,28,mike  you gotta fight or have a '
876316,876291,21,mike  they opened up two '
938350,938269,77,mike send you up here to threaten me   she asked   i expected to see some of the '

Location of ',Location of johnny,,
58223,58138,79,johnny fontane said to the don   when i got the wedding invitation i said to myself  '
61800,61878,77,'  the mimicry of the don was so extraordinary  so unexpected  that hagen and johnny
321138,321230,91,' sharon moore obviously expected him to come on very strong because of his reputation  but johnny
353279,353289,9,'vote for johnny
353328,353289,33,johnny fontane or you are out of a job '
389424,389335,83,johnny laughed   she can be better than that if she invites you home with her  did she   '
389424,389507,82,' nino shook his head   i got too interested in the movie   he said  but this time johnny
794109,794246,136,' well  i can tell you that nino may very well die tomorrow   jules went over to the bar and mixed himself another drink   how about it  johnny

Location of ',Location of kay,,
87871,87999,127,'old man  thought mike was the best of his sons  the one who would surely inherit the family business   what business is that   kay
491471,491348,120,kay was horrified and angry  now she could face him  what he had done was more shameful than her own sin  book iv 233 m& & '
496363,496289,71,kay to the door  there she kissed her on the cheek very quickly and said  '
496363,496562,198,'  you forget about mikey  he no the man for you anymore   there was a car waiting for her with two men up front  they drove her all the way to her hotel in new york never saying a word  neither did kay
938350,938169,178,kay had made the mistake of trying to be cruelly flippant  a role to which she was not suited   did mike send you up here to threaten me   she asked   i expected to see some of the '

Location of ',Location of adams,,
